d,price_usd,lth_realized_price
2012-02-27,4.9525157563,5.204
2012-02-28,4.8572577756,5.205
2012-02-29,4.8727487557,5.147
2012-03-01,4.9220721236,5.149
2012-03-02,4.7148235871,5.148
2012-03-03,4.6281932525,5.144
2012-03-04,4.8341444816,5.143
2012-03-05,4.9823929039,5.141
2012-03-06,4.9878413524,5.141
2012-03-07,4.9491128846,5.139
2012-03-08,4.934979495,5.137
2012-03-09,4.8722978475,5.134
2012-03-10,4.8414238048,5.131
2012-03-11,4.8920287516,5.126
2012-03-12,4.9108393793,5.126
2012-03-13,5.2908802788,5.124
2012-03-14,5.3905432922,5.125
2012-03-15,5.3408208989,5.121
2012-03-16,5.3395747914,5.122
2012-03-17,5.2360035541,5.117
2012-03-18,5.2701489854,5.105
2012-03-19,4.6786725529,5.105
2012-03-20,4.8308302162,5.101
2012-03-21,4.8172295248,5.087
2012-03-22,4.729608505,5.083
2012-03-23,4.6916431765,5.084
2012-03-24,4.6519862659,5.072
2012-03-25,4.5522702624,5.059
2012-03-26,4.6327223597,5.051
2012-03-27,4.8113407352,5.044
2012-03-28,4.7905893916,5.042
2012-03-29,4.7940665722,5.034
2012-03-30,4.8614093565,4.914
2012-03-31,4.8897768732,4.909
2012-04-01,4.7933256774,4.903
2012-04-02,4.9830454787,4.897
2012-04-03,4.9562331929,4.864
2012-04-04,4.9178421777,4.868
2012-04-05,4.9208492449,4.871
2012-04-06,4.9491074322,4.876
2012-04-07,4.7097119103,4.879
2012-04-08,4.7788188492,4.882
2012-04-09,4.8525473811,4.886
2012-04-10,4.8414175938,4.889
2012-04-11,4.9152507171,4.889
2012-04-12,4.9011581473,4.895
2012-04-13,4.9344067335,4.896
2012-04-14,4.956364661,4.897
2012-04-15,4.9616003384,4.901
2012-04-16,4.9507645693,4.906
2012-04-17,4.9687445076,4.869
2012-04-18,5.124377443,4.87
2012-04-19,5.1309065114,4.871
2012-04-20,5.3665159681,4.871
2012-04-21,5.282550339,4.869
2012-04-22,5.1956089947,4.867
2012-04-23,5.1108881917,4.858
2012-04-24,5.0878672624,4.775
2012-04-25,5.1488162455,4.805
2012-04-26,5.0974192858,4.791
2012-04-27,5.0958873399,4.79
2012-04-28,4.9707366528,4.79
2012-04-29,4.9026061777,4.785
2012-04-30,4.9421168101,4.763
2012-05-01,4.9871372274,4.762
2012-05-02,5.0534373539,4.76
2012-05-03,5.118872979,4.758
2012-05-04,5.0855070883,4.747
2012-05-05,5.0566395646,4.748
2012-05-06,5.0478007729,4.734
2012-05-07,5.067555867,4.731
2012-05-08,5.0234664229,4.731
2012-05-09,5.0413062355,4.732
2012-05-10,4.9274887198,4.732
2012-05-11,4.9637099775,4.73
2012-05-12,4.946532235,4.75
2012-05-13,4.9447950538,4.74
2012-05-14,5.011435922,4.736
2012-05-15,5.0336404004,4.733
2012-05-16,5.0877845091,4.724
2012-05-17,5.0896616864,4.714
2012-05-18,5.1183014828,4.699
2012-05-19,5.1125458112,4.696
2012-05-20,5.0942009684,4.667
2012-05-21,5.0942213101,4.643
2012-05-22,5.0891391888,4.633
2012-05-23,5.1288588998,4.635
2012-05-24,5.1191577592,4.611
2012-05-25,5.1372768065,4.611
2012-05-26,5.1039788048,4.59
2012-05-27,5.134616135,4.591
2012-05-28,5.1363254191,4.589
2012-05-29,5.1484706978,4.587
2012-05-30,5.1382645693,4.589
2012-05-31,5.1816397212,4.545
2012-06-01,5.266943758,4.545
2012-06-02,5.2436390602,4.544
2012-06-03,5.2127049848,4.543
2012-06-04,5.2587658574,4.537
2012-06-05,5.4260142949,4.54
2012-06-06,5.446169422,4.54
2012-06-07,5.5871698098,4.539
2012-06-08,5.6225291017,4.536
2012-06-09,5.5570023355,4.542
2012-06-10,5.4578935693,4.542
2012-06-11,5.5869969816,4.541
2012-06-12,5.7274912987,4.541
2012-06-13,5.9093013238,4.54
2012-06-14,5.9620231821,4.537
2012-06-15,6.5233807192,4.538
2012-06-16,6.4441582823,4.542
2012-06-17,6.199966488,4.544
2012-06-18,6.3108446686,4.545
2012-06-19,6.494826716,4.541
2012-06-20,6.6935510555,4.521
2012-06-21,6.6722625038,4.526
2012-06-22,6.5637616978,4.528
2012-06-23,6.4475416891,4.529
2012-06-24,6.3504940386,4.524
2012-06-25,6.31747363,4.524
2012-06-26,6.4328608288,4.525
2012-06-27,6.6157134015,4.535
2012-06-28,6.590064633,4.535
2012-06-29,6.6587767572,4.534
2012-06-30,6.680427623,4.536
2012-07-01,6.6268600923,4.539
2012-07-02,6.7434780508,4.541
2012-07-03,6.4499924033,4.542
2012-07-04,6.5148353331,4.544
2012-07-05,6.6423986043,4.544
2012-07-06,6.6721811894,4.544
2012-07-07,6.8082737119,4.528
2012-07-08,6.7963176879,4.53
2012-07-09,7.032395886,4.53
2012-07-10,7.1785800357,4.422
2012-07-11,7.185147789,4.427
2012-07-12,7.5559356502,4.43
2012-07-13,7.630921256,4.431
2012-07-14,7.5801291783,4.346
2012-07-15,7.6272348597,4.347
2012-07-16,8.4934056774,4.349
2012-07-17,8.7519848551,4.347
2012-07-18,9.0951926861,4.344
2012-07-19,8.8795334135,4.344
2012-07-20,8.5324506791,4.345
2012-07-21,8.875645841,4.345
2012-07-22,8.5065625441,4.345
2012-07-23,8.5312112694,4.346
2012-07-24,8.5745851707,4.347
2012-07-25,8.7693472729,4.346
2012-07-26,8.8757650462,4.346
2012-07-27,8.8914598942,4.347
2012-07-28,8.8425608942,4.346
2012-07-29,8.7476806593,4.346
2012-07-30,9.088317249,4.345
2012-07-31,9.3209984021,4.344
2012-08-01,9.5680209039,4.345
2012-08-02,10.5510396961,4.345
2012-08-03,10.9158647466,4.342
2012-08-04,10.9197148808,4.34
2012-08-05,10.8051173776,4.34
2012-08-06,10.8694465018,4.341
2012-08-07,10.9412794401,4.333
2012-08-08,11.0703915967,4.33
2012-08-09,11.103724744,4.33
2012-08-10,11.4475688045,4.327
2012-08-11,11.5425355272,4.328
2012-08-12,11.5925523898,4.328
2012-08-13,11.9849629904,4.328
2012-08-14,12.187097481,4.329
2012-08-15,13.1700773539,4.329
2012-08-16,13.4507908247,4.329
2012-08-17,12.0770055424,4.331
2012-08-18,11.5775071648,4.326
2012-08-19,7.8306218419,4.326
2012-08-20,9.9798766487,4.325
2012-08-21,9.9029820181,4.326
2012-08-22,9.7725545786,4.326
2012-08-23,10.0886574261,4.318
2012-08-24,10.5940425944,4.319
2012-08-25,10.5836766715,4.318
2012-08-26,10.5455307423,4.317
2012-08-27,10.9003800807,4.319
2012-08-28,10.9329585336,4.323
2012-08-29,10.8677839018,4.323
2012-08-30,10.7277488384,4.326
2012-08-31,10.1024098206,4.327
2012-09-01,10.0065329375,4.328
2012-09-02,10.2261162016,4.323
2012-09-03,10.4971343092,4.322
2012-09-04,10.3640018942,4.323
2012-09-05,11.0255228784,4.324
2012-09-06,11.1607690158,4.33
2012-09-07,11.0761223366,4.328
2012-09-08,11.0432700333,4.329
2012-09-09,11.0620954933,4.331
2012-09-10,11.1252888048,4.33
2012-09-11,11.2680929553,4.332
2012-09-12,11.3152859082,4.333
2012-09-13,11.3802992887,4.336
2012-09-14,11.7301076224,4.338
2012-09-15,11.7183934155,4.337
2012-09-16,11.8869112238,4.337
2012-09-17,11.9083171572,4.325
2012-09-18,12.2596508387,4.307
2012-09-19,12.5048540982,4.308
2012-09-20,12.3671766493,4.305
2012-09-21,12.3336578358,4.301
2012-09-22,12.2137276251,4.299
2012-09-23,12.1654630263,4.299
2012-09-24,12.1135887165,4.292
2012-09-25,12.1824053945,4.291
2012-09-26,12.3198168597,4.291
2012-09-27,12.3187514018,4.292
2012-09-28,12.3814573892,4.299
2012-09-29,12.4047515056,4.301
2012-09-30,12.3916224728,4.302
2012-10-01,12.3893951601,4.301
2012-10-02,12.8072380959,4.302
2012-10-03,12.9554304944,4.291
2012-10-04,12.8623857779,4.292
2012-10-05,12.7522194191,4.292
2012-10-06,12.5051297136,4.293
2012-10-07,11.8739970853,4.294
2012-10-08,11.7333297481,4.285
2012-10-09,11.8286634354,4.287
2012-10-10,12.1091884781,4.285
2012-10-11,12.0675518083,4.288
2012-10-12,12.0280681648,4.288
2012-10-13,11.9268038293,4.299
2012-10-14,11.6505779608,4.299
2012-10-15,11.9083095269,4.299
2012-10-16,11.848018069,4.299
2012-10-17,11.9193881607,4.305
2012-10-18,11.9259328445,4.306
2012-10-19,11.7574857972,4.312
2012-10-20,11.6943775517,4.312
2012-10-21,11.6574114059,4.313
2012-10-22,11.7410779129,4.315
2012-10-23,11.70778173,4.314
2012-10-24,11.6343523869,4.315
2012-10-25,10.7536298203,4.317
2012-10-26,10.1306194936,4.315
2012-10-27,10.4581862957,4.316
2012-10-28,10.7099620839,4.317
2012-10-29,10.630738976,4.318
2012-10-30,10.8593230584,4.317
2012-10-31,11.1460718381,4.318
2012-11-01,10.613535751,4.326
2012-11-02,10.5305036388,4.327
2012-11-03,10.6507470193,4.328
2012-11-04,10.7968828925,4.328
2012-11-05,10.7408207352,4.328
2012-11-06,10.8681974991,4.331
2012-11-07,10.9540989445,4.332
2012-11-08,10.8926993711,4.334
2012-11-09,10.815867218,4.333
2012-11-10,10.863260443,4.335
2012-11-11,10.8418406388,4.337
2012-11-12,11.0313424553,4.341
2012-11-13,10.9980027791,4.344
2012-11-14,10.9589524185,4.346
2012-11-15,11.1751098586,4.354
2012-11-16,11.7050448299,4.356
2012-11-17,11.7500423992,4.36
2012-11-18,11.6656310321,4.365
2012-11-19,11.7505293507,4.37
2012-11-20,11.6991703168,4.375
2012-11-21,11.7291351759,4.379
2012-11-22,12.2919979465,4.385
2012-11-23,12.2802876195,4.39
2012-11-24,12.4132043998,4.396
2012-11-25,12.5296894898,4.4
2012-11-26,12.1846262399,4.405
2012-11-27,12.1592753846,4.41
2012-11-28,12.331659827,4.416
2012-11-29,12.4976616534,4.421
2012-11-30,12.5861389275,4.427
2012-12-01,12.5923868703,4.425
2012-12-02,12.4979447566,4.429
2012-12-03,12.6569578369,4.431
2012-12-04,13.3695895815,4.449
2012-12-05,13.3127502221,4.453
2012-12-06,13.4779245403,4.459
2012-12-07,13.4772824494,4.463
2012-12-08,13.4999844091,4.469
2012-12-09,13.3465108907,4.474
2012-12-10,13.4922565809,4.476
2012-12-11,13.6154156663,4.481
2012-12-12,13.6682136426,4.482
2012-12-13,13.7552515207,4.48
2012-12-14,13.6009222528,4.487
2012-12-15,13.5309482887,4.487
2012-12-16,13.3328610766,4.491
2012-12-17,13.3200719515,4.497
2012-12-18,13.2720338691,4.501
2012-12-19,13.53854318,4.509
2012-12-20,13.5700270263,4.522
2012-12-21,13.4289680023,4.554
2012-12-22,13.4272139129,4.559
2012-12-23,13.3181057569,4.575
2012-12-24,13.4266626715,4.588
2012-12-25,13.3655670047,4.598
2012-12-26,13.4546990175,4.603
2012-12-27,13.3993031812,4.606
2012-12-28,13.4555072215,4.621
2012-12-29,13.3740038603,4.63
2012-12-30,13.4450137989,4.639
2012-12-31,13.5455524436,4.654
2013-01-01,13.331371422,4.667
2013-01-02,13.280606813,4.685
2013-01-03,13.3840811485,4.698
2013-01-04,13.4517211496,4.699
2013-01-05,13.4594067668,4.703
2013-01-06,13.5044965079,4.709
2013-01-07,13.5560616578,4.71
2013-01-08,13.7803506312,4.715
2013-01-09,13.8209552566,4.714
2013-01-10,14.1231728556,4.72
2013-01-11,14.2276211227,4.729
2013-01-12,14.214285656,4.732
2013-01-13,14.1607882671,4.75
2013-01-14,14.3179703203,4.755
2013-01-15,14.3136377516,4.784
2013-01-16,14.7078140479,4.792
2013-01-17,15.5985997396,4.797
2013-01-18,15.7157911239,4.803
2013-01-19,15.5881263998,4.812
2013-01-20,15.7195921373,4.826
2013-01-21,16.7810195207,4.837
2013-01-22,17.3001788387,4.84
2013-01-23,17.5363954229,4.863
2013-01-24,16.9010860722,4.892
2013-01-25,17.4072020292,4.913
2013-01-26,17.5536291761,4.916
2013-01-27,17.8646280148,4.935
2013-01-28,18.7942648743,4.957
2013-01-29,19.5147141861,4.961
2013-01-30,19.7374466864,4.947
2013-01-31,20.5116430307,4.951
2013-02-01,20.4430919562,4.956
2013-02-02,19.6359017054,4.95
2013-02-03,20.5789396832,4.963
2013-02-04,20.4404879614,4.965
2013-02-05,20.6593447276,4.982
2013-02-06,21.2085655319,4.986
2013-02-07,22.1177651789,4.986
2013-02-08,22.7873650499,4.988
2013-02-09,23.7338601537,4.972
2013-02-10,23.9002893571,4.971
2013-02-11,24.4972726949,4.997
2013-02-12,24.9797364074,5.003
2013-02-13,24.6416509348,5.002
2013-02-14,27.2823898203,4.995
2013-02-15,27.1712692291,4.999
2013-02-16,27.346163562,4.997
2013-02-17,26.9272513764,4.994
2013-02-18,26.9288676371,4.99
2013-02-19,29.4136243808,4.986
2013-02-20,29.8198072276,4.978
2013-02-21,29.8180689158,4.99
2013-02-22,30.4726565324,4.987
2013-02-23,29.8064545459,4.989
2013-02-24,29.8828484924,5.01
2013-02-25,30.352033095,5.041
2013-02-26,31.1555373507,5.034
2013-02-27,31.240261083,5.04
2013-02-28,33.3752939366,5.032
2013-03-01,34.6062570341,5.12
2013-03-02,34.143515924,5.133
2013-03-03,34.4517404845,5.152
2013-03-04,36.3762652507,5.156
2013-03-05,40.6729539903,5.165
2013-03-06,43.2849961852,5.165
2013-03-07,41.9474407158,5.165
2013-03-08,43.902928915,5.171
2013-03-09,46.8885866123,5.186
2013-03-10,46.066038459,5.194
2013-03-11,48.2750745772,5.204
2013-03-12,44.4135452582,5.221
2013-03-13,47.0161908516,5.229
2013-03-14,46.9255625535,5.244
2013-03-15,46.9025172478,5.25
2013-03-16,47.1570156996,5.252
2013-03-17,47.3334997838,5.258
2013-03-18,51.3654363913,5.265
2013-03-19,59.4986011114,5.29
2013-03-20,63.6874854982,5.294
2013-03-21,70.9175250053,5.293
2013-03-22,69.8460845418,5.291
2013-03-23,64.3831163705,5.323
2013-03-24,71.6904242065,5.318
2013-03-25,74.3140892496,5.318
2013-03-26,78.614197432,5.326
2013-03-27,88.8520799138,5.35
2013-03-28,87.6731739608,5.357
2013-03-29,90.2956993583,5.35
2013-03-30,92.1899599883,5.313
2013-03-31,93.8992384231,5.316
2013-04-01,103.5803469112,5.302
2013-04-02,116.6799442412,5.296
2013-04-03,131.3848093782,5.218
2013-04-04,133.0071204757,5.236
2013-04-05,142.626065488,5.217
2013-04-06,143.0818229649,5.221
2013-04-07,162.8522145769,5.283
2013-04-08,186.351161848,5.302
2013-04-09,230.6829966952,5.306
2013-04-10,161.192889661,5.282
2013-04-11,82.901585038,5.265
2013-04-12,111.476373194,5.227
2013-04-13,97.6090718703,5.225
2013-04-14,88.8614913998,5.222
2013-04-15,80.874693166,5.263
2013-04-16,68.2831387271,5.223
2013-04-17,92.8640369135,5.217
2013-04-18,108.6283450923,5.226
2013-04-19,119.012283239,5.241
2013-04-20,128.208288893,5.248
2013-04-21,118.4832437563,5.237
2013-04-22,126.3142717598,5.249
2013-04-23,142.1272180532,5.257
2013-04-24,154.1332778045,5.255
2013-04-25,141.0086592785,5.266
2013-04-26,137.2096004196,5.277
2013-04-27,128.2266696052,5.328
2013-04-28,134.6235695617,5.339
2013-04-29,143.8103781926,5.348
2013-04-30,139.1296475453,5.38
2013-05-01,116.1138010403,5.402
2013-05-02,106.3409846973,5.407
2013-05-03,96.3168402741,5.437
2013-05-04,112.4976363691,5.446
2013-05-05,116.488715827,5.456
2013-05-06,112.1185961952,5.46
2013-05-07,111.6092128735,5.475
2013-05-08,113.1360618548,5.494
2013-05-09,111.9745327107,5.5
2013-05-10,117.6910368837,5.496
2013-05-11,115.4997776628,5.453
2013-05-12,114.8856755596,5.46
2013-05-13,117.4044566461,5.504
2013-05-14,107.8655665693,5.523
2013-05-15,108.9868524255,5.536
2013-05-16,112.9178740503,5.565
2013-05-17,117.284616014,5.58
2013-05-18,118.1698766803,5.587
2013-05-19,117.033880187,5.605
2013-05-20,117.8186364699,5.621
2013-05-21,117.2520409117,5.642
2013-05-22,118.9781735827,5.672
2013-05-23,123.7261560491,5.696
2013-05-24,128.9710806546,5.697
2013-05-25,128.8449152542,5.682
2013-05-26,130.1586011105,5.735
2013-05-27,126.392905903,5.773
2013-05-28,125.9045952659,5.785
2013-05-29,129.5648123904,5.799
2013-05-30,126.5130683811,5.821
2013-05-31,127.8164888954,5.839
2013-06-01,128.7911510812,5.846
2013-06-02,122.6267089421,5.86
2013-06-03,122.9491879018,5.857
2013-06-04,120.1899687317,5.862
2013-06-05,120.8699238457,5.848
2013-06-06,119.0539756698,5.885
2013-06-07,110.1977314436,5.896
2013-06-08,109.1785453413,5.91
2013-06-09,99.9036034483,5.919
2013-06-10,104.3575666277,5.933
2013-06-11,107.5075204559,5.96
2013-06-12,106.3781163063,6.108
2013-06-13,101.3238977206,6.173
2013-06-14,99.2132443016,6.201
2013-06-15,99.875037405,6.222
2013-06-16,99.0383512566,6.268
2013-06-17,100.1263050847,6.292
2013-06-18,104.2891763822,6.381
2013-06-19,104.417150789,6.394
2013-06-20,104.3234997078,6.405
2013-06-21,101.4168573933,6.419
2013-06-22,100.0395084746,6.433
2013-06-23,100.3147445938,6.571
2013-06-24,99.0456832262,6.572
2013-06-25,97.83278872,6.587
2013-06-26,98.6517007598,6.605
2013-06-27,96.8039495991,6.639
2013-06-28,89.4245067212,6.668
2013-06-29,88.7972910579,6.685
2013-06-30,89.4809076563,6.698
2013-07-01,82.8675701344,6.732
2013-07-02,87.8164666861,6.745
2013-07-03,77.6913308007,6.774
2013-07-04,79.1348708358,6.801
2013-07-05,67.4476238527,6.803
2013-07-06,66.3416808884,6.824
2013-07-07,72.1095223729,6.856
2013-07-08,73.9885537697,6.971
2013-07-09,74.8919108708,7.023
2013-07-10,85.013679135,7.049
2013-07-11,87.4975493863,7.185
2013-07-12,90.0466987142,7.206
2013-07-13,91.592597896,7.238
2013-07-14,89.8922692759,7.357
2013-07-15,93.7961525424,7.372
2013-07-16,91.7810356517,7.394
2013-07-17,91.0313512566,7.428
2013-07-18,84.9617291175,7.522
2013-07-19,86.2387945996,7.571
2013-07-20,84.9108591467,7.622
2013-07-21,85.6643502618,7.661
2013-07-22,85.6490286382,7.686
2013-07-23,86.977056692,7.731
2013-07-24,88.1517305669,7.786
2013-07-25,90.1660922268,7.852
2013-07-26,89.9839859731,7.954
2013-07-27,88.1652758621,8.021
2013-07-28,92.7458421975,8.093
2013-07-29,93.2986972531,8.179
2013-07-30,96.659552893,8.274
2013-07-31,98.0244199299,8.34
2013-08-01,96.5680178258,8.445
2013-08-02,96.0745306838,8.579
2013-08-03,95.5067095266,8.751
2013-08-04,96.3654821742,9.067
2013-08-05,97.5271338399,9.249
2013-08-06,97.6712066043,9.476
2013-08-07,97.0542068966,9.709
2013-08-08,94.2572717709,9.917
2013-08-09,92.4727767387,10.128
2013-08-10,93.293552893,10.229
2013-08-11,94.2713123904,10.479
2013-08-12,95.4464707773,10.824
2013-08-13,97.7590750847,11.167
2013-08-14,99.1212875511,11.433
2013-08-15,98.1063331385,11.743
2013-08-16,98.2909602572,12.018
2013-08-17,99.6305043834,12.351
2013-08-18,99.1780397428,12.6
2013-08-19,102.7840122735,12.868
2013-08-20,104.5002109877,13.144
2013-08-21,110.8016037405,13.401
2013-08-22,109.5232168323,13.651
2013-08-23,107.6975715956,13.925
2013-08-24,108.8826750438,14.149
