d,price_usd,profit_loss
2014-05-07,442.1828760959,
2014-05-08,440.4027627119,
2014-05-09,452.6979997236,
2014-05-10,456.7558462887,
2014-05-11,439.1144760374,
2014-05-12,441.2809555815,
2014-05-13,439.0057749854,
2014-05-14,444.8482057276,
2014-05-15,446.9615587376,
2014-05-16,448.7421537113,
2014-05-17,449.2222893045,
2014-05-18,446.9626414378,
2014-05-19,447.4048568089,
2014-05-20,490.335648159,
2014-05-21,493.9334918177,
2014-05-22,526.8142884278,
2014-05-23,523.6993202805,
2014-05-24,527.6912431327,
2014-05-25,573.312458796,
2014-05-26,584.8479748685,
2014-05-27,573.9282692455,
2014-05-28,579.1893188194,
2014-05-29,570.3493109293,
2014-05-30,620.8463606078,
2014-05-31,627.8924206897,
2014-06-01,630.0749535359,
2014-06-02,663.5057238457,
2014-06-03,672.3878971362,
2014-06-04,643.8873687902,
2014-06-05,661.5035581531,
2014-06-06,650.1333158971,
2014-06-07,656.8002717709,
2014-06-08,657.8199748685,
2014-06-09,648.3363223261,
2014-06-10,650.936609585,
2014-06-11,631.4890222092,
2014-06-12,591.9750771479,
2014-06-13,597.0449997078,
2014-06-14,575.5594617183,
2014-06-15,589.7246464056,
2014-06-16,590.5674821742,
2014-06-17,609.0800029223,
2014-06-18,607.6297960257,
2014-06-19,595.7514769141,
2014-06-20,591.5315227937,
2014-06-21,592.7643495032,
2014-06-22,599.6346335476,
2014-06-23,589.5522998247,
2014-06-24,579.9737185856,
2014-06-25,562.2367799532,
2014-06-26,580.7492302747,
2014-06-27,600.638305377,
2014-06-28,594.3903042081,
2014-06-29,600.8405184103,
2014-06-30,638.9461139684,
2014-07-01,642.9565967271,
2014-07-02,651.2983477499,
2014-07-03,646.4133891303,
2014-07-04,630.6355029223,
2014-07-05,630.4683419053,
2014-07-06,634.6726744594,
2014-07-07,622.8549789597,
2014-07-08,624.8943310929,
2014-07-09,621.9390917592,
2014-07-10,616.5228497954,
2014-07-11,634.4943781414,
2014-07-12,636.9239579345,
2014-07-13,629.8757504383,
2014-07-14,619.1974590883,
2014-07-15,621.9346014027,
2014-07-16,616.3518822326,
2014-07-17,624.2592749854,
2014-07-18,630.7501402688,
2014-07-19,629.1733644068,
2014-07-20,625.2486762127,
2014-07-21,621.3053313852,
2014-07-22,619.8232644652,
2014-07-23,619.7728167738,
2014-07-24,602.8796455289,
2014-07-25,601.5785143191,
2014-07-26,594.7026072472,
2014-07-27,591.5754441847,
2014-07-28,587.4930049679,
2014-07-29,584.1123933372,
2014-07-30,562.9146250731,
2014-07-31,581.9755619521,
2014-08-01,596.5067592051,
2014-08-02,589.757261543,
2014-08-03,586.7537367037,
2014-08-04,587.6083354763,
2014-08-05,581.8819886032,
2014-08-06,582.2483714202,
2014-08-07,586.0466335476,
2014-08-08,589.0244126242,
2014-08-09,588.9785213326,
2014-08-10,589.3735020456,
2014-08-11,573.4414839275,
2014-08-12,568.3075201636,
2014-08-13,548.3701753361,
2014-08-14,505.1074997078,
2014-08-15,500.3230601327,
2014-08-16,521.7479628872,
2014-08-17,497.7646589714,
2014-08-18,468.9579181765,
2014-08-19,486.7943506721,
2014-08-20,515.1203538866,
2014-08-21,519.3078521333,
2014-08-22,516.1593687902,
2014-08-23,497.1257594974,
2014-08-24,508.4307419638,
2014-08-25,501.6102866745,
2014-08-26,511.8523217417,
2014-08-27,510.1623237873,
2014-08-28,506.2851516657,
2014-08-29,508.8665718878,
2014-08-30,501.2757232613,
2014-08-31,478.5114254822,
2014-09-01,474.5414897721,
2014-09-02,474.4306706604,
2014-09-03,473.9592033898,
2014-09-04,489.5552013442,
2014-09-05,478.7497828755,
2014-09-06,480.6424918177,
2014-09-07,478.3655008767,
2014-09-08,468.9754959088,
2014-09-09,473.5120271771,
2014-09-10,477.7784175921,
2014-09-11,477.2706820573,
2014-09-12,473.9972822911,
2014-09-13,477.9609739918,
2014-09-14,475.6480639977,
2014-09-15,472.6556297487,
2014-09-16,464.1777545295,
2014-09-17,456.3398912916,
2014-09-18,426.880106955,
2014-09-19,393.8938907072,
2014-09-20,411.041342782,
2014-09-21,400.4045306838,
2014-09-22,400.8816221508,
2014-09-23,438.4918009936,
2014-09-24,423.7000917592,
2014-09-25,409.5377498539,
2014-09-26,405.2982518995,
2014-09-27,400.5993345996,
2014-09-28,375.5499897721,
2014-09-29,373.0645578609,
2014-09-30,389.2640404115,
2014-10-01,382.9093658679,
2014-10-02,372.5256990064,
2014-10-03,357.6657136178,
2014-10-04,328.8261130918,
2014-10-05,322.826261543,
2014-10-06,326.8035327294,
2014-10-07,333.5701949153,
2014-10-08,354.4073343074,
2014-10-09,361.7164248977,
2014-10-10,358.8903908101,
2014-10-11,361.9083769725,
2014-10-12,377.8712437171,
2014-10-13,391.9942089421,
2014-10-14,400.8805920544,
2014-10-15,394.6258798948,
2014-10-16,382.3214763296,
2014-10-17,382.2007895967,
2014-10-18,391.2931770894,
2014-10-19,388.6844979544,
2014-10-20,381.1908585622,
2014-10-21,385.2046335412,
2014-10-22,380.7787632963,
2014-10-23,357.3447931034,
2014-10-24,357.4884339568,
2014-10-25,345.8112466394,
2014-10-26,353.081956166,
2014-10-27,350.0157118644,
2014-10-28,354.6538050847,
2014-10-29,333.5993500877,
2014-10-30,344.6093822326,
2014-10-31,337.1829126242,
2014-11-01,324.3713150205,
2014-11-02,324.2485666277,
2014-11-03,325.3618655757,
2014-11-04,329.6577039743,
2014-11-05,338.8057653419,
2014-11-06,349.6899117475,
2014-11-07,342.1332881356,
2014-11-08,345.7163325541,
2014-11-09,363.6100517241,
2014-11-10,365.5022539451,
2014-11-11,367.8254669784,
2014-11-12,422.5914196376,
2014-11-13,421.914471654,
2014-11-14,398.3888828171,
2014-11-15,377.9938407364,
2014-11-16,390.205823495,
2014-11-17,387.5010315605,
2014-11-18,373.8645645821,
2014-11-19,377.6133980129,
2014-11-20,356.1812653419,
2014-11-21,350.7488588545,
2014-11-22,352.4555146113,
2014-11-23,367.773242256,
2014-11-24,376.9942238457,
2014-11-25,376.7556300409,
2014-11-26,367.5302080655,
2014-11-27,369.5302273524,
2014-11-28,377.8969319112,
2014-11-29,376.0763354763,
2014-11-30,378.6903971362,
2014-12-01,379.1119789597,
2014-12-02,382.9467963179,
2014-12-03,375.916019287,
2014-12-04,368.8455680888,
2014-12-05,378.4283296318,
2014-12-06,375.1379511981,
2014-12-07,376.6397931034,
2014-12-08,363.2156767972,
2014-12-09,351.1068378141,
2014-12-10,347.8813939217,
2014-12-11,348.5930061368,
2014-12-12,353.1906125073,
2014-12-13,349.2429450614,
2014-12-14,356.0797215079,
2014-12-15,347.0951814728,
2014-12-16,328.6133202805,
2014-12-17,320.297613384,
2014-12-18,313.5116511794,
2014-12-19,318.2428886616,
2014-12-20,330.0657583285,
2014-12-21,320.992670076,
2014-12-22,331.8425844535,
2014-12-23,336.0841285798,
2014-12-24,323.0322977791,
2014-12-25,318.99614436,
2014-12-26,329.2103419053,
2014-12-27,315.9684438925,
2014-12-28,317.0104804208,
2014-12-29,313.0655315605,
2014-12-30,310.4420040912,
2014-12-31,320.6622872589,
2015-01-01,314.7764719462,
2015-01-02,315.9427317358,
2015-01-03,285.6473097604,
2015-01-04,263.3345748101,
2015-01-05,275.0038515488,
2015-01-06,287.5495210403,
2015-01-07,297.5355651666,
2015-01-08,284.3423918761,
2015-01-09,292.5011145529,
2015-01-10,276.2305321449,
2015-01-11,268.755515488,
2015-01-12,268.6172320281,
2015-01-13,224.1081177674,
2015-01-14,175.6376405611,
2015-01-15,212.3410113968,
2015-01-16,207.595204851,
2015-01-17,199.8248366452,
2015-01-18,211.1325184103,
2015-01-19,216.8946949153,
2015-01-20,211.9198538866,
2015-01-21,227.9042104033,
2015-01-22,233.6473828171,
2015-01-23,233.1328524255,
2015-01-24,249.0821239042,
2015-01-25,254.5179412624,
2015-01-26,273.952244886,
2015-01-27,264.7538045003,
2015-01-28,235.7358404442,
2015-01-29,233.9573734658,
2015-01-30,228.8961899474,
2015-01-31,217.3321560491,
2015-02-01,227.1113012858,
2015-02-02,240.0924199299,
2015-02-03,227.7756957919,
2015-02-04,226.7811341321,
2015-02-05,217.0111510812,
2015-02-06,222.7249693162,
2015-02-07,228.6471274109,
2015-02-08,224.0359888954,
2015-02-09,220.7684938632,
2015-02-10,220.8881542957,
2015-02-11,219.4958597312,
2015-02-12,222.5832279369,
2015-02-13,236.5553638223,
2015-02-14,257.6276957919,
2015-02-15,234.4458030392,
2015-02-16,235.0861268264,
2015-02-17,243.9057942724,
2015-02-18,235.9952323203,
2015-02-19,241.8722539451,
2015-02-20,245.5307752776,
2015-02-21,245.59600263,
2015-02-22,236.6906683226,
2015-02-23,239.0660178258,
2015-02-24,239.8692621274,
2015-02-25,238.2361110462,
2015-02-26,237.0444023963,
2015-02-27,255.1167744009,
2015-02-28,254.9484485681,
2015-03-01,260.6513308007,
2015-03-02,276.3226136762,
2015-03-03,282.7059009351,
2015-03-04,273.4475365283,
2015-03-05,276.2688091759,
2015-03-06,273.3181148451,
2015-03-07,276.4033573933,
2015-03-08,275.3380338983,
2015-03-09,290.1300590298,
2015-03-10,292.3203831093,
2015-03-11,296.6933293396,
2015-03-12,295.8003448276,
2015-03-13,285.9110263004,
2015-03-14,283.6083062537,
2015-03-15,287.2701420222,
2015-03-16,291.3921180596,
2015-03-17,285.2483965517,
2015-03-18,257.2861601403,
2015-03-19,262.0929479836,
2015-03-20,262.9664921099,
2015-03-21,261.1842974869,
2015-03-22,268.8994158387,
2015-03-23,266.7779929866,
2015-03-24,246.8350829924,
2015-03-25,246.7191367621,
2015-03-26,249.532993571,
2015-03-27,247.3788983051,
2015-03-28,253.2316139684,
2015-03-29,242.9676142607,
2015-03-30,248.3369345412,
2015-03-31,244.7124856809,
2015-04-01,247.1858194039,
2015-04-02,253.6300704267,
2015-04-03,254.833163647,
2015-04-04,253.9458486265,
2015-04-05,261.1121361777,
2015-04-06,256.3673869082,
2015-04-07,254.8318980129,
2015-04-08,245.8252104033,
2015-04-09,243.8606361777,
2015-04-10,235.8719006429,
2015-04-11,237.4090677966,
2015-04-12,237.1410423729,
2015-04-13,225.5056358854,
2015-04-14,219.7572367037,
2015-04-15,223.3139079486,
2015-04-16,228.4938153127,
2015-04-17,222.7850601987,
2015-04-18,223.3980441262,
2015-04-19,223.284135301,
2015-04-20,224.8949035652,
2015-04-21,234.9393565167,
2015-04-22,233.822418761,
2015-04-23,235.9332936879,
2015-04-24,231.4585923437,
2015-04-25,226.4459929866,
2015-04-26,220.5034067797,
2015-04-27,227.3259903565,
2015-04-28,225.5493687902,
2015-04-29,225.6692884278,
2015-04-30,236.3279760374,
2015-05-01,232.7465827002,
2015-05-02,235.5400771479,
2015-05-03,240.4642489772,
2015-05-04,238.9766613092,
2015-05-05,236.0233834015,
2015-05-06,229.4812193004,
2015-05-07,237.1306873174,
2015-05-08,244.3834728229,
2015-05-09,242.7059500292,
2015-05-10,240.7314839275,
2015-05-11,242.2498372297,
2015-05-12,242.2090920514,
2015-05-13,236.5502659264,
2015-05-14,236.9489167154,
2015-05-15,237.4845023378,
2015-05-16,235.8121344243,
2015-05-17,236.963682934,
2015-05-18,232.8838496154,
2015-05-19,231.9744468147,
2015-05-20,234.1903062537,
2015-05-21,235.5538217417,
2015-05-22,240.3232036821,
2015-05-23,238.9632817066,
2015-05-24,240.7117583285,
2015-05-25,237.0035432496,
2015-05-26,236.7962612507,
2015-05-27,237.2035964348,
2015-05-28,236.9568819404,
2015-05-29,236.6465265926,
2015-05-30,232.7887700175,
2015-05-31,229.4505479252,
2015-06-01,223.2827019287,
2015-06-02,225.3208009936,
2015-06-03,225.2130634132,
2015-06-04,223.5400768556,
2015-06-05,224.7310718878,
2015-06-06,225.1605131502,
2015-06-07,223.4116858562,
2015-06-08,228.7742913501,
2015-06-09,229.3705295149,
2015-06-10,228.5884874342,
2015-06-11,229.5844117475,
2015-06-12,229.8112185102,
2015-06-13,233.0153445354,
2015-06-14,232.5071087084,
2015-06-15,236.7909628872,
2015-06-16,251.4326767972,
2015-06-17,247.9693176505,
2015-06-18,249.0124795441,
2015-06-19,244.8034842198,
2015-06-20,245.5825131502,
2015-06-21,244.3002600818,
2015-06-22,247.0178924605,
2015-06-23,244.1847632963,
2015-06-24,240.4515452951,
2015-06-25,242.3478576856,
2015-06-26,242.96799737,
2015-06-27,251.5293267095,
2015-06-28,249.0582857978,
2015-06-29,256.6502223846,
2015-06-30,263.854356865,
2015-07-01,258.0426475745,
2015-07-02,254.747113384,
2015-07-03,256.0870428334,
2015-07-04,260.509239626,
2015-07-05,271.3024582116,
2015-07-06,269.1379400935,
2015-07-07,266.4699190532,
2015-07-08,270.5761428989,
2015-07-09,269.6803047925,
2015-07-10,285.5587808299,
2015-07-11,293.9174538282,
2015-07-12,311.4818798948,
2015-07-13,292.6492238457,
2015-07-14,287.7409514904,
2015-07-15,285.9228854471,
2015-07-16,278.5327492694,
2015-07-17,280.0647247224,
2015-07-18,277.354635301,
2015-07-19,275.2819894798,
2015-07-20,279.114393045,
2015-07-21,276.6524126242,
2015-07-22,277.7643690824,
2015-07-23,276.8116285798,
2015-07-24,289.3059763296,
2015-07-25,289.5076399766,
2015-07-26,293.314842782,
2015-07-27,294.4267618352,
2015-07-28,295.4101252688,
2015-07-29,289.855836353,
2015-07-30,288.2362606663,
2015-07-31,284.5973243717,
2015-08-01,281.6688462887,
2015-08-02,282.423006429,
2015-08-03,282.1850523086,
2015-08-04,285.2866174752,
2015-08-05,282.3388869082,
2015-08-06,278.995748685,
2015-08-07,279.4887150789,
2015-08-08,261.4502755698,
2015-08-09,266.3420204559,
2015-08-10,264.9288252484,
2015-08-11,271.4217361192,
2015-08-12,268.143868498,
2015-08-13,264.6916279953,
2015-08-14,266.3559415546,
2015-08-15,261.9368366452,
2015-08-16,258.9308173898,
2015-08-17,258.0093983051,
2015-08-18,217.8858831169,
2015-08-19,227.2182518995,
2015-08-20,235.5238831093,
2015-08-21,232.8006178399,
2015-08-22,230.6391732905,
2015-08-23,228.6730739334,
2015-08-24,211.9559175921,
2015-08-25,222.6550394506,
2015-08-26,226.1167001753,
2015-08-27,224.9398772648,
2015-08-28,232.1708082992,
2015-08-29,229.8262001753,
2015-08-30,229.0195724722,
2015-08-31,230.6894661017,
2015-09-01,227.9555704267,
2015-09-02,229.5021807095,
2015-09-03,227.1071215663,
2015-09-04,231.1775634132,
2015-09-05,235.9030061368,
2015-09-06,240.8054722385,
2015-09-07,240.6336157218,
2015-09-08,244.1749526593,
2015-09-09,238.7224631794,
2015-09-10,238.7504772063,
2015-09-11,240.8450081169,
2015-09-12,236.3518321765,
2015-09-13,230.5488373174,
2015-09-14,230.9487939801,
2015-09-15,230.3985900058,
2015-09-16,229.0432857978,
2015-09-17,233.2026978375,
2015-09-18,233.1751309176,
2015-09-19,232.2415680888,
2015-09-20,231.3623237873,
2015-09-21,226.7734479836,
2015-09-22,230.6263047925,
2015-09-23,230.1324377557,
2015-09-24,234.319868498,
2015-09-25,235.5382218001,
2015-09-26,234.591814436,
2015-09-27,233.2433097604,
2015-09-28,240.0172653419,
2015-09-29,237.3362337814,
2015-09-30,236.7398480421,
2015-10-01,238.2298138515,
2015-10-02,237.9370073057,
2015-10-03,239.7358977206,
2015-10-04,239.5169248977,
2015-10-05,240.9612138334,
2015-10-06,246.9404982466,
2015-10-07,243.7344868498,
2015-10-08,243.0296329632,
2015-10-09,244.4488874927,
2015-10-10,245.9559243133,
2015-10-11,248.5281654004,
2015-10-12,246.0936373466,
2015-10-13,250.4713007013,
2015-10-14,253.1423255406,
2015-10-15,254.6930150029,
2015-10-16,262.7373632379,
2015-10-17,271.9309389246,
2015-10-18,263.4816773816,
2015-10-19,264.3627282291,
2015-10-20,270.8322118644,
2015-10-21,268.0402177089,
2015-10-22,275.4149564582,
2015-10-23,278.6127780269,
2015-10-24,283.6111428989,
2015-10-25,286.0496934541,
2015-10-26,286.7033828171,
2015-10-27,295.5629137931,
2015-10-28,304.4420970193,
2015-10-29,314.8794623027,
2015-10-30,328.4923211572,
2015-10-31,314.1195081823,
2015-11-01,329.8542276447,
2015-11-02,364.6166279953,
2015-11-03,400.9231052016,
2015-11-04,405.4816814728,
2015-11-05,384.341222969,
2015-11-06,372.9754178843,
2015-11-07,386.5045508475,
2015-11-08,372.4001297487,
2015-11-09,380.49564436,
2015-11-10,337.8305023378,
2015-11-11,308.9221858562,
2015-11-12,337.5229886032,
2015-11-13,337.2789582116,
2015-11-14,333.0471174752,
2015-11-15,319.9280216248,
2015-11-16,331.1327250146,
2015-11-17,335.84978609,
2015-11-18,335.7445049679,
2015-11-19,326.2321455289,
2015-11-20,321.940475453,
2015-11-21,325.9052311514,
2015-11-22,323.7169661017,
2015-11-23,323.0125563413,
2015-11-24,319.9613565272,
2015-11-25,328.9604573349,
2015-11-26,356.255292519,
2015-11-27,359.2688243717,
2015-11-28,356.5673226184,
2015-11-29,371.7076125073,
2015-11-30,377.3898398597,
2015-12-01,362.5323758036,
2015-12-02,359.2224041496,
2015-12-03,361.2100680888,
2015-12-04,363.2416317943,
2015-12-05,389.362958796,
2015-12-06,393.3191297487,
2015-12-07,395.3465882525,
2015-12-08,413.7986604325,
2015-12-09,417.6326712449,
2015-12-10,415.7299243133,
2015-12-11,453.8614801286,
2015-12-12,435.8557223846,
2015-12-13,434.4034663939,
2015-12-14,442.9916896552,
2015-12-15,464.6178717124,
2015-12-16,454.1424924021,
2015-12-17,456.2401346113,
2015-12-18,463.1757697253,
2015-12-19,461.3999079486,
2015-12-20,442.1539900643,
2015-12-21,437.6401294565,
2015-12-22,435.2683790181,
2015-12-23,442.6657270602,
2015-12-24,455.8787130333,
2015-12-25,455.7188258328,
2015-12-26,418.2215315605,
2015-12-27,422.7058945061,
2015-12-28,421.0528796026,
2015-12-29,431.3400213326,
2015-12-30,426.0436469901,
2015-12-31,429.6771534191,
2016-01-01,434.678006429,74.67
2016-01-02,434.4398772648,74.31
2016-01-03,430.1361800117,73.51
2016-01-04,433.4489710696,74.16
2016-01-05,432.66950263,73.95
2016-01-06,430.6778696669,73.06
2016-01-07,459.2089400935,79.77
2016-01-08,454.1344237288,77.53
2016-01-09,449.8452162478,76.5
2016-01-10,448.5802162478,76.09
2016-01-11,449.0330590298,76.8
2016-01-12,441.768157218,74.26
2016-01-13,432.3106452367,71.8
2016-01-14,429.8232247224,70.73
2016-01-15,367.8231998831,62.8
2016-01-16,388.0712045587,66.67
2016-01-17,382.4820864991,64.95
2016-01-18,384.8651665693,66.51
2016-01-19,378.1617250146,64.46
2016-01-20,420.6229241683,71.48
2016-01-21,409.2984596727,69.73
2016-01-22,381.0464593805,65.11
2016-01-23,386.3706025716,67.27
2016-01-24,403.4469266511,69.43
2016-01-25,391.9860973115,68.11
2016-01-26,391.1429351257,67.18
2016-01-27,394.6275303741,69.23
2016-01-28,378.9009956166,63.65
2016-01-29,378.9999948229,64.65
2016-01-30,377.2627790766,61.56
2016-01-31,366.3416876096,59.95
2016-02-01,371.2234350906,62.25
2016-02-02,372.9276312098,62.97
2016-02-03,368.0982066043,61.22
2016-02-04,389.723081239,70.03
2016-02-05,384.3984139831,68.14
2016-02-06,374.6315555231,62.97
2016-02-07,375.1539175921,63.42
2016-02-08,370.8143503273,60.95
2016-02-09,373.5116128609,63.24
2016-02-10,379.0826116306,67.2
2016-02-11,377.6391651081,64.78
2016-02-12,382.2944564582,68.07
2016-02-13,389.5984324722,71.23
2016-02-14,406.1506694915,74.39
2016-02-15,399.267618647,72.85
2016-02-16,407.0353094681,74.65
2016-02-17,415.324113384,75.41
2016-02-18,421.2896629819,76.62
2016-02-19,419.6265285412,75.5
2016-02-20,440.1957600818,79.04
2016-02-21,438.7186126815,78.2
2016-02-22,437.5352950941,77.59
2016-02-23,420.0325926096,74.41
2016-02-24,423.9951125073,75.72
2016-02-25,424.0908702513,75.96
2016-02-26,431.7622419638,76.85
2016-02-27,432.9478459965,77.36
2016-02-28,433.1022627119,77.48
2016-02-29,437.7758725891,78.88
2016-03-01,432.8078671537,75.65
2016-03-02,423.0797893922,72.69
2016-03-03,419.2688213326,71.04
2016-03-04,407.9901542957,68.81
2016-03-05,397.3144539451,66.54
2016-03-06,403.7051874635,68.08
2016-03-07,413.2293661601,71.21
2016-03-08,411.4259532437,70.15
2016-03-09,412.5407035067,70.67
2016-03-10,416.3409286967,72.83
2016-03-11,419.511934249,74.07
2016-03-12,410.2641632963,68.45
2016-03-13,411.8058824664,69.44
2016-03-14,415.0269572764,71.48
2016-03-15,415.2664002922,71.74
2016-03-16,417.0241184687,73.3
2016-03-17,418.6053638223,73.71
2016-03-18,408.901587405,67.12
2016-03-19,409.1244298656,67.5
2016-03-20,412.0569538282,69.18
2016-03-21,411.6017740503,68.78
2016-03-22,416.5816538282,72.9
2016-03-23,417.3782995324,73.68
2016-03-24,413.5602399182,70.02
2016-03-25,416.373243834,72.31
2016-03-26,416.8230966686,73.28
2016-03-27,425.454959848,77.31
2016-03-28,422.9174468147,75.43
2016-03-29,415.8638287551,70.22
2016-03-30,412.7776977791,67.28
2016-03-31,415.9568112215,70.97
2016-04-01,417.2006602572,73.1
2016-04-02,419.763056692,74.97
2016-04-03,420.0735789012,75.23
2016-04-04,419.5407278784,74.4
2016-04-05,422.5013644068,76.17
2016-04-06,421.9071912332,75.33
2016-04-07,421.4672200468,74.69
2016-04-08,418.6434605494,70.65
2016-04-09,418.7586353594,70.95
2016-04-10,421.9544885447,76.16
2016-04-11,423.2730440094,77.34
2016-04-12,427.4276645821,78.43
2016-04-13,424.8725181181,76.67
2016-04-14,425.8565949737,77.54
2016-04-15,430.724418761,78.88
2016-04-16,432.2163130333,79.05
2016-04-17,429.3399687317,76.7
2016-04-18,429.6569336645,77.23
2016-04-19,437.5687261835,80.54
2016-04-20,442.6616533022,81.33
2016-04-21,452.1647028054,81.96
2016-04-22,448.1344213326,80.74
2016-04-23,453.914722969,82.12
2016-04-24,463.3828714202,82.82
2016-04-25,465.3160066628,82.92
2016-04-26,469.6087645237,83.04
2016-04-27,445.7411130918,78.51
2016-04-28,451.0600617767,79.75
2016-04-29,457.009965225,81.12
2016-04-30,449.900484512,78.36
2016-05-01,455.0107311514,80.24
2016-05-02,444.9330611923,76.51
2016-05-03,451.6288503799,79.58
2016-05-04,448.3679675628,78.09
2016-05-05,449.3360724722,78.64
2016-05-06,461.6938623612,81.93
2016-05-07,461.3618424898,80.54
2016-05-08,461.3788722969,80.86
2016-05-09,463.4622316774,82.31
2016-05-10,451.0796683226,77.74
2016-05-11,453.8963052601,79.08
2016-05-12,455.6072559322,79.8
2016-05-13,457.2419026885,80.36
2016-05-14,458.1195248393,80.47
2016-05-15,460.8577206312,80.75
2016-05-16,455.2240773232,78.12
2016-05-17,453.545777031,76.99
2016-05-18,454.4861841029,78.41
2016-05-19,437.724187142,72.18
2016-05-20,442.3967992402,73.32
2016-05-21,444.0782071888,73.96
2016-05-22,440.5586688486,71.73
2016-05-23,444.2050572764,74.5
2016-05-24,445.6744549386,75.01
2016-05-25,450.5495271771,76.88
2016-05-26,454.4337223846,79.07
2016-05-27,471.8201172998,83.43
2016-05-28,530.910597896,85.39
2016-05-29,527.5497124489,84.46
2016-05-30,533.4931490357,85.59
2016-05-31,530.9436928112,84.29
2016-06-01,537.6136788428,85.87
2016-06-02,538.7712431911,85.88
2016-06-03,570.1759882525,86.64
2016-06-04,574.2662016365,87.1
2016-06-05,575.1376380479,87.11
2016-06-06,585.8571490357,87.65
2016-06-07,578.469240678,86.45
2016-06-08,583.0975853302,86.84
2016-06-09,577.1016997078,85.14
2016-06-10,579.814993571,86.2
2016-06-11,605.4495569842,89.37
2016-06-12,670.3923743425,93.23
2016-06-13,704.3217781414,94.57
2016-06-14,684.9483194039,92.57
2016-06-15,695.0014684395,93.25
2016-06-16,767.4200312683,95.26
2016-06-17,750.0146339275,93.64
2016-06-18,758.2887801286,93.81
2016-06-19,766.767132671,93.91
2016-06-20,722.497452367,91.25
